Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),1022,,978,1138,,1395,817,812
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),1021,,975,1142,,1370,815,810
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),1022,,977,1141,,1399,950,815
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),1024,,967,1150876,,1379,823,812
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),1027900,,979,1145588,916,1373,812,812
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1023,,975,1142144,916,1415,818,813
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1023,,975,1142144,916,1415,818,813
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),1022,,966,1146,918,1389756,812,936
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1023,,965,1139284,919,1397,854,809
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1026,,963,1155356,916,1403,814,810
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),1195992,,965,1155276,911024,1413,813,808
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),1026,,977,1152580,916076,1371,815,811
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),1031,,964,1153700,915584,1415,817,824
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",1025,,959,1159688,920448,1401,817,939
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),1017,,957,1158648,916644,1387,816,807
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),1017,,956552,1154316,,1412,816,809
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),1186,,962972,1138140,920,1391,818,813
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",1018,,960,1146396,921,1395,818,808
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),1014,,956,1159104,918,1381,941,811
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),1014,,959744,1145104,907,1389,816,811
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),1012,,963412,1148864,918,1403,814,856
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",1018,,964,1152,910,1382,817,815
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),1021,,961,1155844,917,1388,943,817
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),1021,,961,1138,917,,943,817
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),1018,1027,960,1156196,791,,810,953
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),1024,1024,962,1285,791,,814,822
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),1002,1021,953,1115788,794,,815,806
5750b9e3,2025-06-20,gcycle update (#2747),1001,1102,952,1147656,794,,811,928
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),998764,1033,947,1137600,796,,814,805
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",1000,1021,948,1128168,,,938,806
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),999,1032,950,1136096,794,,801,807
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),999,1032,950,1136096,794,,801,807
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),1007,1007,951,1128180,789,,814,807
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",1000,1006,952,1134728,788,,811,805
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),1000,1006,952,1134728,788,,811,805
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",1000,1027,948,1122704,795,,811,804
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",1000,1018,948,1133792,795,,811,804
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),1000,1006,947,1137380,796,,812,804
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),1000,1006,947,1128068,796,,812,804
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),1014,1005,937,1136188,828,,811,810
ff162f36,2025-05-01,NSSL MP scheme updates + Stochastic Physics CI/CD & Unit Test (#2661),1153,997,936,1125928,827,,809,949
9e4778cd,2025-04-25,Loosen restriction on optional arguments in CCPP Framework (#2573),1181,1000,937,1135156,829,,929,817
4a566203,2025-04-23,CMake Atmosphere Dycore Generalization + Fix for JEDI cubed sphere grid #2708 (#2604),1025,1175,937,1131124,827,,937,937
4f0111b2,2025-04-21,Add CMEPS log file at restart write; IAU Tags for Global Workflow (was #2674) (#2698),1016,1001,938,1137928,824,,811,892
c0d4de3c,2025-04-18,Update mom6 to its main repository 20250411 commit (#2697),1013,1000,938,1139780,825,,937,810
7cc588ae,2025-04-16,Add PIO configuration variables for CMEPS + Update CCPP framework and physics CMakeLists.txt; forward ccpp-framework to HEAD of main #2659 (#2695),1016,1026,943,1132480,825,,808,814
9b9a6304,2025-04-11,Memcheck fixes (#2655),1022,1022,944,1125812,831,,815,820
4e75e7b4,2025-04-10,Update upp submodule to the latest UPP (#2682),1018,1020,946,1144272,826,,803,806
69d03840,2025-04-07,Use ESMF Redist instead of Remap for FV3 history bundles with 'cubed_sphere_grid' output grid (#2595),1022,1016,934,1131664,824,,805,917
0d1af3e3,2025-04-02,"Convert GFS DDTs from blocked data structures to contiguous arrays: Part Deux  + CCPP updates in fv3atm/ccpp-physics: split physics in two groups, reset GFS_interstitial DDT in CCPP_driver.F90 #2651 + Hera move spack-stack to /contrib #2579 (#2610)",1021,1023,934,1127384,826,,807,808
