Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
42c7a0ad,2025-09-22,Send surface ocean currents to ATM for SFS test (#2689),1043,868,825,837,,760,951,962
db4e2d0f,2025-09-18,Replace icplocn2atm (integer) with use_oceanuv (logical); Update cloud build env to remove gnu from stack (was #2842) (#2867),1047,853,826,852,,762,959,962
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),1042,854,826,839,,759,959,962
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),1038,851,825,838,,757,960,959
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),1042,867,824,842,,758,958,961
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),1040,856,826,840468,,760,956,962
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),1048264,853,826,839812,953,760,959,962
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1046,858,824,840488,953,756,959,962
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1046,858,824,840488,953,756,959,962
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),1041,852,825,835,954,759040,956,960
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1041,854,825,837300,953,760,957,961
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1042,853,825,853440,955,757,958,961
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),1043192,852,826,838696,952180,758,958,958
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),1043,853,821,834512,951332,760,957,961
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),1047,853,820,841060,954660,774,958,959
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",1045,852,824,842608,954484,760,957,962
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),1046,852,819,840456,952772,757,960,958
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),1040,852,823776,841092,,759,959,958
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),1048,851,822804,851536,950,760,960,957
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",1041,855,821,834796,950,757,960,960
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),1047,850,823,834232,945,774,959,964
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),1051,854,822344,835248,949,760,959,962
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),1041,856,819624,836752,946,760,960,963
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",1042,853,822,837,949,758,957,963
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),1040,856,824,841148,946,760,958,960
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),1040,856,824,846,946,,958,960
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),1043,844,826,848216,960,,960,959
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),1037,855,829,840,961,,951,958
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),1035,854,825,842504,963,,962,956
5750b9e3,2025-06-20,gcycle update (#2747),1035,852,826,843712,963,,962,955
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),1035532,854,824,855448,964,,962,956
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",1033,846,824,839896,,,963,956
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),1034,855,827,841784,964,,948,954
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),1034,855,827,841784,964,,948,954
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),1036,843,826,839640,962,,962,956
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",1038,841,826,840296,962,,961,957
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),1038,841,826,840296,962,,961,957
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",1039,854,826,842040,963,,963,956
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",1039,748,826,1055868,963,,963,956
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),1032,743,826,1057968,962,,961,955
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),1032,743,826,1058100,962,,961,955
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),1041,735,827,1055664,960,,962,957
ff162f36,2025-05-01,NSSL MP scheme updates + Stochastic Physics CI/CD & Unit Test (#2661),1031,752,825,1059004,962,,963,954
9e4778cd,2025-04-25,Loosen restriction on optional arguments in CCPP Framework (#2573),1036,737,826,1059300,963,,962,955
