Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),976,853,797,840,,739,934,934
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),970,852,796,843,,739,940,933
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),972,854,795,839424,,738,938,951
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),997948,854,794,842768,923,740,936,931
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),985,850,799,840244,923,741,938,934
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),985,850,799,840244,923,741,938,934
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),996,853,796,841,939,738608,929,950
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),980,854,795,842028,923,740,937,933
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),969,852,795,844456,928,736,951,941
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),980372,856,800,838600,935556,739,957,931
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),988,855,797,841640,930548,739,944,943
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),993,855,798,842880,939372,740,939,930
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",980,853,809,843320,923056,735,950,934
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),986,856,798,843392,921916,754,940,942
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),977,854,804944,840388,,752,937,932
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),975,853,809332,840860,930,754,939,931
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",969,852,798,840012,928,754,939,931
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),971,854,801,839900,920,754,937,929
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),983,853,800120,843208,933,754,938,933
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),994,852,798240,841264,930,753,934,944
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",991,856,810,843,926,754,937,939
