Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
42c7a0ad,2025-09-22,Send surface ocean currents to ATM for SFS test (#2689),493,652,282,461,,636,446,440
db4e2d0f,2025-09-18,Replace icplocn2atm (integer) with use_oceanuv (logical); Update cloud build env to remove gnu from stack (was #2842) (#2867),494,655,279,1070,,373,440,433
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),498,658,281,457,,372,498,437
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),494,657,283,459,,384,447,429
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),495,661,282,455,,373,611,430
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),583,655,279,474,,380,438,434
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),496,655,281,460,360,373,462,439
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),500,663,279,462,360,373,436,435
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),500,663,279,462,360,373,436,435
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),496,653,283,460,359,369,439,442
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1019,652,279,453,358,370,433,428
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),885,658,282,459,356,368,439,444
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),506,649,296,464,359,373,433,434
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),497,660,280,464,363,382,450,445
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),503,677,283,471,363,386,462,443
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",499,660,280,467,365,389,439,438
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),501,661,280,540,363,378,434,437
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),497,661,284,549,,375,438,431
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),497,670,281,554,365,371,444,446
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",500,665,277,552,364,380,445,440
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),497,663,283,463,365,375,450,438
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),499,657,281,463,363,373,437,437
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),521,764,285,465,363,369,436,445
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",503,720,280,460,362,497,439,439
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),900,658,279,459,368,381,433,440
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),900,658,279,460,368,,433,440
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),502,660,279,772,361,,440,440
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),1063,666,279,580,359,,435,432
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),501,660,286,464,359,,445,432
5750b9e3,2025-06-20,gcycle update (#2747),551,660,279,463,359,,431,439
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),1213,663,279,473,365,,435,436
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",507,658,280,1423,,,439,432
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),498,667,281,595,361,,439,429
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),498,667,281,595,361,,439,429
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),505,665,282,621,362,,438,436
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",594,657,283,602,361,,444,433
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),594,657,283,602,361,,444,433
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",503,662,280,388,361,,439,433
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",503,676,280,477,361,,439,433
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),703,678,281,494,359,,449,418
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),703,678,281,487,359,,449,418
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),903,688,280,473,362,,432,435
ff162f36,2025-05-01,NSSL MP scheme updates + Stochastic Physics CI/CD & Unit Test (#2661),499,684,279,479,360,,453,418
9e4778cd,2025-04-25,Loosen restriction on optional arguments in CCPP Framework (#2573),502,680,282,490,361,,430,417
4a566203,2025-04-23,CMake Atmosphere Dycore Generalization + Fix for JEDI cubed sphere grid #2708 (#2604),698,690,280,616,359,,448,420
4f0111b2,2025-04-21,Add CMEPS log file at restart write; IAU Tags for Global Workflow (was #2674) (#2698),518,678,291,506,361,,435,418
c0d4de3c,2025-04-18,Update mom6 to its main repository 20250411 commit (#2697),568,688,279,514,363,,433,418
7cc588ae,2025-04-16,Add PIO configuration variables for CMEPS + Update CCPP framework and physics CMakeLists.txt; forward ccpp-framework to HEAD of main #2659 (#2695),501,681,280,506,361,,438,420
9b9a6304,2025-04-11,Memcheck fixes (#2655),500,679,287,473,360,,437,421
4e75e7b4,2025-04-10,Update upp submodule to the latest UPP (#2682),499,678,280,486,363,,432,418
