Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),236,308,140,292,,186,215,209
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),234,310,137,304,,188,227,216
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),234,302,140,291,,188,226,213
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),320,308,144,242,,189,224,206
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),235,302,138,237,174,188,222,219
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),241,307,137,243,174,186,216,211
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),241,307,137,243,174,186,216,211
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),236,305,138,240,176,205,225,208
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),275,308,138,237,178,183,221,212
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),503,306,138,531,177,187,215,215
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),234,305,142,240,176,187,218,210
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),234,304,136,234,175,186,221,206
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),233,316,138,235,174,200,214,210
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",237,309,135,236,177,187,221,203
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),233,307,134,243,176,185,206,212
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),233,302,137,231,,185,215,213
