Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
42c7a0ad,2025-09-22,Send surface ocean currents to ATM for SFS test (#2689),164,93,110,73,,94,206,195
db4e2d0f,2025-09-18,Replace icplocn2atm (integer) with use_oceanuv (logical); Update cloud build env to remove gnu from stack (was #2842) (#2867),166,97,112,71,,78,197,199
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),163,95,113,71,,92,209,188
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),166,94,114,76,,90,194,191
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),166,94,109,72,,79,241,198
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),198,93,110,86,,82,202,196
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),166,92,112,73,157,78,204,198
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),172,93,110,71,157,77,196,193
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),172,93,110,71,157,77,196,193
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),174,96,112,73,156,130,201,193
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),201,93,117,78,153,72,191,201
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),197,92,108,74,155,78,191,189
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),157,90,112,78,155,100,194,191
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),159,92,111,73,155,73,200,186
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),163,107,110,70,155,79,194,191
