Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
d1f50458,2025-09-23,Automatically add new PRs to WM PR Project board (#2897),1327,691,835,525,,1361,1452,1460
ac8ffeb8,2025-09-23,Update default_vars for stochastic physics settings for global-worfklow. Minor document updates to reflect new HSD container (was #2885). PR template update (was #2891) (#2889),1327,691,835,525,,1361,1452,1460
42c7a0ad,2025-09-22,Send surface ocean currents to ATM for SFS test (#2689),1326,644,835,518,,420,1457,1498
db4e2d0f,2025-09-18,Replace icplocn2atm (integer) with use_oceanuv (logical); Update cloud build env to remove gnu from stack (was #2842) (#2867),1353,671,838,527,,418,1440,1447
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),1362,656,841,539,,457,1464,1463
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),1348,664,849,523,,474,1443,1443
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),1353,640,847,518,,424,1447,1451
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),1345,652,840,543,,484,1453,1426
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),1360,661,855,574,1242,434,1446,1443
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1365,655,840,566,1242,431,1435,1430
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1365,655,840,566,1242,431,1435,1430
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),1345,642,901,520,1229,559,1438,1445
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1399,676,839,515,1253,439,1450,1455
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1427,656,834,521,1233,1310,1441,1462
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),1354,663,854,524,1221,430,1447,1441
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),1352,658,844,516,1232,433,1458,1447
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),803,419,541,319,764,310,889,898
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",842,400,534,335,762,285,895,904
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),836,422,537,318,787,284,923,892
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),834,411,535,329,,282,919,886
