Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
d1f50458,2025-09-23,Automatically add new PRs to WM PR Project board (#2897),289,253,451,222,,343,313,263
ac8ffeb8,2025-09-23,Update default_vars for stochastic physics settings for global-worfklow. Minor document updates to reflect new HSD container (was #2885). PR template update (was #2891) (#2889),289,253,451,222,,343,313,263
42c7a0ad,2025-09-22,Send surface ocean currents to ATM for SFS test (#2689),287,256,451,285,,176,282,253
db4e2d0f,2025-09-18,Replace icplocn2atm (integer) with use_oceanuv (logical); Update cloud build env to remove gnu from stack (was #2842) (#2867),312,255,161,220,,184,269,260
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),293,254,157,236,,174,331,259
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),287,255,160,231,,170,294,250
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),287,257,167,272,,185,399,248
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),353,260,160,221,,172,291,253
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),310,378,162,221,236,180,311,251
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),292,265,162,294,236,173,288,262
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),292,265,162,294,236,173,288,262
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),288,256,159,258,243,171,275,246
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),391,259,161,217,238,182,278,258
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),465,250,157,215,238,172,282,253
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),292,257,168,216,235,170,274,251
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),285,250,164,295,241,171,284,250
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),291,254,155,282,244,198,269,247
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",318,251,155,481,245,178,287,246
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),284,257,154,282,245,177,283,250
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),304,256,158,213,,174,280,241
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),286,256,159,284,232,182,273,248
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",299,253,156,212,260,169,273,246
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),288,258,154,281,248,171,324,257
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),287,254,156,250,236,178,270,245
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),289,350,157,262,244,178,255,242
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",284,419,158,260,243,224,270,242
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),299,258,156,216,240,743,254,243
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),299,258,156,213,240,,254,243
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),296,258,157,217,227,,268,246
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),490,251,156,281,230,,274,252
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),324,264,156,210,234,,273,243
5750b9e3,2025-06-20,gcycle update (#2747),315,246,160,267,231,,250,256
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),988,262,158,279,238,,270,255
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",312,255,155,477,,,258,252
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),319,252,155,216,239,,255,251
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),319,252,155,216,239,,255,251
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),295,253,158,236,240,,252,249
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",382,251,155,243,242,,255,256
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),382,251,155,243,242,,255,256
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",330,253,156,217,240,,283,248
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",330,253,156,218,240,,283,248
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),373,267,157,247,238,,288,232
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),373,267,157,237,238,,288,232
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),498,256,155,423,242,,262,251
ff162f36,2025-05-01,NSSL MP scheme updates + Stochastic Physics CI/CD & Unit Test (#2661),291,255,158,254,229,,288,231
9e4778cd,2025-04-25,Loosen restriction on optional arguments in CCPP Framework (#2573),322,253,157,213,242,,256,232
4a566203,2025-04-23,CMake Atmosphere Dycore Generalization + Fix for JEDI cubed sphere grid #2708 (#2604),334,270,155,276,239,,277,238
4f0111b2,2025-04-21,Add CMEPS log file at restart write; IAU Tags for Global Workflow (was #2674) (#2698),304,257,163,219,238,,256,235
c0d4de3c,2025-04-18,Update mom6 to its main repository 20250411 commit (#2697),537,264,157,214,245,,264,234
7cc588ae,2025-04-16,Add PIO configuration variables for CMEPS + Update CCPP framework and physics CMakeLists.txt; forward ccpp-framework to HEAD of main #2659 (#2695),291,254,154,319,236,,284,233
