Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
db4e2d0f,2025-09-18,Replace icplocn2atm (integer) with use_oceanuv (logical); Update cloud build env to remove gnu from stack (was #2842) (#2867),1048,946,867,936,,850,1014,1009
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),1042,941,871,935,,850,1014,1009
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),1045,939,868,936,,850,1003,1010
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),1040,940,872,934,,850,1014,1010
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),1042,938,867,936916,,849,1004,1008
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),1039744,938,872,937772,998,849,999,1009
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1037,944,867,935876,998,848,1013,1010
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1037,944,867,935876,998,848,1013,1010
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),1039,944,873,935,998,849424,1014,1007
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1020,942,873,937416,995,849,1009,1008
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1040,946,874,939760,993,850,1011,1007
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),1049432,943,869,937452,998520,851,1012,1007
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),1036,942,869,939320,994636,848,1013,1005
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),1042,938,869,938252,997764,849,1012,1008
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",1037,946,869,937032,996432,849,1014,1008
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),1041,945,873,937760,993076,850,1013,1002
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),1041,943,870112,938536,,848,1013,1003
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),1036,940,873792,938388,994,849,1010,1005
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",1038,943,872,939376,996,848,1013,1005
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),1039,941,867,935980,998,849,1012,1006
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),1046,943,868568,939856,993,849,1011,1005
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),1045,945,875372,937172,992,850,1009,1005
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",1047,942,871,939,992,850,1009,1007
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),1044,941,868,937752,999,848,1002,1007
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),1044,941,868,938,999,,1002,1007
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),1038,955,873,939624,1005,,995,1009
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),1041,949,872,944,1005,,990,1010
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),1044,954,875,938476,1008,,1007,1011
5750b9e3,2025-06-20,gcycle update (#2747),1043,949,871,939168,1001,,994,1013
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),1041828,951,869,940996,1004,,994,1012
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",1039,954,868,941544,,,1004,1011
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),1034,951,870,936448,1003,,1005,1011
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),1034,951,870,936448,1003,,1005,1011
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),1036,935,870,940032,1001,,996,1011
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",1040,946,869,938060,998,,995,1012
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),1040,946,869,938060,998,,995,1012
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",1037,942,874,1191632,1000,,1006,1012
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",1037,840,874,1097312,1000,,1006,1012
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),1040,836,870,1071136,1007,,1003,1010
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),1040,836,870,1072936,1007,,1003,1010
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),1038,833,869,1070028,1004,,1007,1011
