Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),303,302,206,249,,216,361,354
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),302,300,211,251,,228,346,354
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),304,298,210,248,,218,368,349
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),337,305,211,254,,231,348,357
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),303,300,207,273,284,235,359,351
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),305,296,208,289,284,221,347,348
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),305,296,208,289,284,221,347,348
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),309,303,208,247,293,218,349,349
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),312,296,206,282,286,217,350,355
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),413,295,206,257,285,218,354,346
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),301,291,208,259,282,218,346,345
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),291,300,206,270,289,225,364,343
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),300,297,202,285,289,288,352,348
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",308,291,206,249,291,234,351,353
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),297,302,206,247,285,218,342,346
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),292,305,207,254,,217,347,340
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),300,305,210,249,290,220,349,351
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",300,298,206,251,289,217,346,343
