Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),1124,1019,947,1004,,911,1081,1091
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),1120,1021,949,1004,,911,1090,1102
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),1118,1020,952,1004548,,910,1094,1090
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),1123124,1022,959,1003916,1081,910,1095,1093
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1133,1022,948,1003440,1081,911,1095,1085
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1133,1022,948,1003440,1081,911,1095,1085
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),1122,1022,952,1004,1073,911048,1091,1089
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1120,1020,953,1007028,1080,911,1097,1099
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1118,1020,961,1005852,1072,911,1093,1085
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),1127380,1021,952,1008924,1071008,911,1090,1087
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),1131,1022,948,1006660,1072596,911,1094,1090
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),1126,1018,952,1006792,1091476,910,1093,1087
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",1124,1022,950,1002032,1071116,910,1092,1094
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),1112,1021,953,1008376,1074124,925,1091,1087
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),1122,1023,950028,1004768,,925,1090,1088
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),1130,1020,951260,1005984,1073,925,1094,1087
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",1134,1019,950,1004124,1085,925,1096,1087
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),1124,1020,959,1006800,1081,914,1092,1092
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),1126,1024,957016,1004920,1085,923,1103,1099
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),1129,1021,963916,1001480,1080,923,1090,1085
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",1132,1024,954,1005,1093,923,1095,1086
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),1129,1022,950,1006464,1082,923,1072,1085
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),1129,1022,950,1005,1082,,1072,1085
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),1125,1019,962,997232,1099,,1075,1096
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),1128,1023,948,1001,1089,,1083,1091
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),1133,1015,950,999788,1086,,1077,1089
5750b9e3,2025-06-20,gcycle update (#2747),1118,1020,946,1000488,1084,,1079,1084
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),1115656,1017,948,997908,1085,,1084,1086
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",1123,1017,954,991,,,1081,1089
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),1114,1020,956,996684,1097,,1071,1090
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),1114,1020,956,996684,1097,,1071,1090
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),1116,1002,948,991860,1091,,1081,1090
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",1117,1012,949,993888,1086,,1091,1087
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),1117,1012,949,993888,1086,,1091,1087
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",1122,1014,960,1000644,1088,,1096,1090
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",1122,922,960,1001432,1088,,1096,1090
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),1120,905,945,963768,1086,,1078,1091
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),1120,905,945,961312,1086,,1078,1091
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),1118,905,959,1016664,1088,,1096,1093
ff162f36,2025-05-01,NSSL MP scheme updates + Stochastic Physics CI/CD & Unit Test (#2661),1117,905,950,1018220,1088,,1081,1089
9e4778cd,2025-04-25,Loosen restriction on optional arguments in CCPP Framework (#2573),1127,904,949,1019216,1099,,1082,1087
4a566203,2025-04-23,CMake Atmosphere Dycore Generalization + Fix for JEDI cubed sphere grid #2708 (#2604),1119,906,949,997480,1097,,1084,1101
4f0111b2,2025-04-21,Add CMEPS log file at restart write; IAU Tags for Global Workflow (was #2674) (#2698),1124,906,948,998876,1091,,1090,1088
c0d4de3c,2025-04-18,Update mom6 to its main repository 20250411 commit (#2697),1117,908,948,996792,1087,,1085,1083
7cc588ae,2025-04-16,Add PIO configuration variables for CMEPS + Update CCPP framework and physics CMakeLists.txt; forward ccpp-framework to HEAD of main #2659 (#2695),1125,917,948,964328,1090,,1086,1088
9b9a6304,2025-04-11,Memcheck fixes (#2655),1122,922,961,963208,1089,,1096,1089
4e75e7b4,2025-04-10,Update upp submodule to the latest UPP (#2682),1127,918,958,990684,1088,,1092,1089
69d03840,2025-04-07,Use ESMF Redist instead of Remap for FV3 history bundles with 'cubed_sphere_grid' output grid (#2595),1123,908,956,968720,1088,,1089,1083
0d1af3e3,2025-04-02,"Convert GFS DDTs from blocked data structures to contiguous arrays: Part Deux  + CCPP updates in fv3atm/ccpp-physics: split physics in two groups, reset GFS_interstitial DDT in CCPP_driver.F90 #2651 + Hera move spack-stack to /contrib #2579 (#2610)",1121,917,956,963452,1089,,1087,1085
6ece76a2,2025-03-28,Update WW3  by merging develop  as of 2025-03-20 (#2669),1126,907,951,968532,1093,,1102,1085
