Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),265,252,165,215,,204,300,267
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),273,250,298,220,,186,413,267
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),349,257,162,242,,187,306,268
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),272,250,161,219,242,187,333,266
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),332,255,160,219,242,185,283,272
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),332,255,160,219,242,185,283,272
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),314,260,181,215,265,193,301,271
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),671,248,164,218,252,186,313,271
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),554,246,178,230,249,188,308,263
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),268,250,158,210,257,182,296,272
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),262,249,165,268,251,182,322,262
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),267,252,159,340,246,191,298,260
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",266,250,165,284,256,181,287,263
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),267,248,157,364,257,194,283,260
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),262,246,166,208,,185,298,270
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),260,247,158,276,244,183,299,267
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",328,247,160,212,248,186,316,264
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),329,422,160,239,260,186,311,270
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),341,247,158,286,258,185,317,265
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),418,408,159,279,248,185,271,259
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",300,357,158,208,242,310,278,268
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),356,244,157,244,257,184,281,255
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),356,244,157,239,257,,281,255
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),285,255,164,237,251,,296,276
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),632,267,165,295,246,,276,265
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),274,276,163,231,250,,286,264
5750b9e3,2025-06-20,gcycle update (#2747),277,249,162,293,250,,280,262
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),1100,251,161,255,249,,287,268
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",300,260,164,505,,,274,264
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),287,270,162,349,251,,288,269
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),287,270,162,349,251,,288,269
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),406,255,165,315,260,,266,261
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",333,259,163,392,262,,282,274
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),333,259,163,392,262,,282,274
