Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),414,303,,326,,370,485,474
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),422,305,,313,,335,947,461
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),589,320,,358,,329,506,459
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),427,302,,382,,332,535,456
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),459,314,,543,,403,514,465
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),459,314,,543,,403,514,465
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),425,310,,273,,364,466,453
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),954,303,,482,,322,485,466
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),432,301,,341,,343,498,461
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),,305,,316,,368,468,454
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),402,307,,352,,324,501,455
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),457,312,,350,,379,468,456
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",418,310,,343,,361,491,451
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),419,320,,329,,358,472,457
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),405,306,,345,,354,469,443
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),423,314,,313,,331,481,463
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",404,315,,353,,358,488,453
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),457,312,,354,,397,511,453
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),430,303,,310,,359,486,458
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),477,427,,403,,351,447,448
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",416,408,,372,,397,459,451
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),926,336,,314,,348,459,451
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),926,336,,310,,,459,451
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),398,317,224,342,,,525,504
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),694,307,221,373,,,518,511
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),443,317,224,385,,,534,494
5750b9e3,2025-06-20,gcycle update (#2747),412,314,224,374,,,512,515
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),442,312,224,339,,,533,503
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",457,335,223,337,,,509,503
