Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),1923,1544,1751,1546,,1450,1904,1902
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),1921,1544,1753,1524,,1462,1896,1905
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),1918,1543,1747,1534,,1452,1893,1905
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),1922,1541,1752,1537868,,1449,1900,1903
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),1927484,1534,1752,1535312,1878,1448,1896,1903
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1923,1549,1761,1532024,1878,1451,1905,1906
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1923,1549,1761,1532024,1878,1451,1905,1906
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),1918,1550,1745,1521,1889,1462768,1904,1901
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1915,1530,1753,1533432,1887,1428,1906,1902
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1914,1554,1757,1547344,1885,1463,1900,1900
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),1913812,1548,1753,1549284,1878788,1440,1902,1908
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),1912,1561,1751,1549816,1881376,1438,1904,1907
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),1918,1528,1746,1547772,1890436,1440,1905,1904
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",1911,1546,1759,1546972,1892400,1460,1902,1904
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),1925,1527,1753,1536160,1883124,1451,1904,1904
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),1916,1542,1743256,1538124,,1462,1900,1905
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),1922,1539,1757104,1516168,1888,1447,1905,1905
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",1915,1540,1753,1531960,1878,1462,1907,1903
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),1911,1553,1748,1536808,1886,1450,1910,1902
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),1925,1532,1751212,1527208,1877,1459,1902,1899
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),1916,1532,1757020,1548648,1892,1460,1901,1903
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",1915,1521,1748,1561,1885,1451,1905,1904
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),1921,1545,1749,1521292,1882,1438,1898,1903
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),1921,1545,1749,1524,1882,,1898,1903
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),1918,1566,1748,1540716,1890,,1901,1908
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),1909,1562,1757,1552,1901,,1896,1896
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),1918,1557,1761,1551984,1896,,1889,1894
5750b9e3,2025-06-20,gcycle update (#2747),1916,1563,1752,1551432,1892,,1889,1894
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),1916060,1554,1760,1552788,1888,,1900,1897
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",1907,1532,1761,1543172,,,1890,1897
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),1915,1550,1753,1539376,1892,,1900,1894
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),1915,1550,1753,1539376,1892,,1900,1894
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),1904,1527,1748,1536896,1892,,1895,1897
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",1918,1529,1753,1546840,1896,,1894,1896
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),1918,1529,1753,1546840,1896,,1894,1896
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",1915,1572,1747,1542020,1892,,1897,1894
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",1915,1453,1747,1721804,1892,,1897,1894
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),1906,1438,1750,1718816,1893,,1898,1900
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),1906,1438,1750,1703252,1893,,1898,1900
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),1915,1423,1747,1723100,1889,,1899,1895
ff162f36,2025-05-01,NSSL MP scheme updates + Stochastic Physics CI/CD & Unit Test (#2661),1910,1412,1754,1704292,1897,,1898,1898
9e4778cd,2025-04-25,Loosen restriction on optional arguments in CCPP Framework (#2573),1878,1437,1754,1701148,1899,,1897,1896
4a566203,2025-04-23,CMake Atmosphere Dycore Generalization + Fix for JEDI cubed sphere grid #2708 (#2604),1909,1425,1761,1702432,1901,,1898,1898
4f0111b2,2025-04-21,Add CMEPS log file at restart write; IAU Tags for Global Workflow (was #2674) (#2698),1908,1443,1749,1700172,1896,,1894,1900
c0d4de3c,2025-04-18,Update mom6 to its main repository 20250411 commit (#2697),1911,1435,1752,1719244,1890,,1894,1896
7cc588ae,2025-04-16,Add PIO configuration variables for CMEPS + Update CCPP framework and physics CMakeLists.txt; forward ccpp-framework to HEAD of main #2659 (#2695),1912,1443,1748,1721236,1893,,1897,1900
9b9a6304,2025-04-11,Memcheck fixes (#2655),1915,1439,1753,1701832,1893,,1896,1895
4e75e7b4,2025-04-10,Update upp submodule to the latest UPP (#2682),1915,1452,1759,1717456,1902,,1896,1896
69d03840,2025-04-07,Use ESMF Redist instead of Remap for FV3 history bundles with 'cubed_sphere_grid' output grid (#2595),1917,1436,1763,1719344,1895,,1896,1902
0d1af3e3,2025-04-02,"Convert GFS DDTs from blocked data structures to contiguous arrays: Part Deux  + CCPP updates in fv3atm/ccpp-physics: split physics in two groups, reset GFS_interstitial DDT in CCPP_driver.F90 #2651 + Hera move spack-stack to /contrib #2579 (#2610)",1919,1442,1763,1696336,1893,,1905,1895
