Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),297,156,202,114,,110,348,348
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),303,155,200,118,,108,387,346
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),307,148,204,133,,110,348,340
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),295,152,198,120,287,110,360,351
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),302,158,204,181,287,111,348,342
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),302,158,204,181,287,111,348,342
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),301,152,201,125,281,131,343,340
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),332,147,203,156,286,107,343,345
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),357,155,204,132,278,108,359,341
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),312,152,200,138,281,113,344,348
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),283,148,205,119,280,107,347,336
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),293,159,204,120,281,140,340,334
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",299,150,196,118,284,132,344,339
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),293,151,202,126,281,117,336,333
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),295,153,204,157,,108,334,334
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),298,162,205,128,284,113,340,336
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",331,152,204,140,283,120,341,343
