Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),1036,948,869,937,,852,1011,1009
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),1039,950,868,935,,856,1011,1004
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),1039,949,869,939832,,855,1012,1009
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),1034872,949,868,939052,996,854,1007,1007
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1049,949,868,939148,996,856,1007,1008
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1049,949,868,939148,996,856,1007,1008
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),1032,952,871,935,998,854120,1001,1008
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1034,954,870,941864,998,854,1011,1007
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1034,953,869,938108,993,855,1006,1007
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),1029860,954,870,942,998456,856,1011,1003
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),1037,948,869,943784,997108,854,1004,1008
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),1037,956,867,938392,1000416,855,1010,1007
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",1039,953,870,941972,998184,855,1008,1004
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),1033,953,869,942236,996560,856,1008,1005
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),1041,949,871872,968212,,854,1011,1006
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),1031,952,869432,940824,992,856,1011,1004
