Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
42c7a0ad,2025-09-22,Send surface ocean currents to ATM for SFS test (#2689),282,362,163,253,,217,269,259
db4e2d0f,2025-09-18,Replace icplocn2atm (integer) with use_oceanuv (logical); Update cloud build env to remove gnu from stack (was #2842) (#2867),277,359,162,253,,204,263,258
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),277,359,165,254,,203,337,260
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),277,360,164,252,,211,275,253
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),277,358,164,252,,205,394,252
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),340,359,271,269,,205,260,256
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),283,355,164,251,206,205,268,258
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),277,357,164,248,206,205,251,248
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),277,357,164,248,206,205,251,248
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),518,683,295,466,384,374,453,449
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1053,672,293,461,385,375,474,454
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),863,678,295,473,377,372,453,457
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),530,678,301,478,380,376,452,453
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),518,685,299,473,385,374,462,461
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),521,692,297,480,385,379,473,460
