Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),85,75,47,113,,51,146,80
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),83,75,44,58,,53,98,76
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),153,74,45,106,,53,572,84
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),118,75,46,59,,55,112,87
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),85,76,46,57,55,50,119,78
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),85,76,45,120,55,755,111,72
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),85,76,45,120,55,755,111,72
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),89,69,61,58,54,55,101,76
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),145,75,45,58,56,84,100,86
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),369,75,45,57,55,57,105,84
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),79,74,47,108,55,52,112,91
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),84,77,44,131,56,189,122,73
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),140,81,44,57,57,57,120,74
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",170,75,43,58,56,54,131,84
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),82,74,43,56,55,54,101,85
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),82,80,44,58,,51,87,87
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),83,80,44,135,94,55,148,88
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",95,74,44,58,96,53,105,82
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),154,77,44,57,93,1109,167,81
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),145,76,49,59,84,54,102,84
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),83,175,45,58,84,55,95,85
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",160,185,44,57,82,86,91,86
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),117,99,52,58,91,53,93,88
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),117,99,52,55,91,,93,88
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),114,71,44,58,82,,107,78
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),230,71,50,156,77,,109,82
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),114,67,44,59,82,,106,80
5750b9e3,2025-06-20,gcycle update (#2747),123,73,43,58,79,,98,92
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),148,74,44,99,77,,99,86
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",147,78,45,227,,,90,82
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),123,84,44,59,81,,80,77
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),123,84,44,59,81,,80,77
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),109,78,44,107,77,,80,82
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",132,75,45,89,78,,83,83
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),132,75,45,89,78,,83,83
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",123,73,43,182,83,,159,81
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",123,76,43,62,83,,159,81
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),,,,,,,,
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),,,,,,,,
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),,,,,,,,
ff162f36,2025-05-01,NSSL MP scheme updates + Stochastic Physics CI/CD & Unit Test (#2661),,,,,,,,
9e4778cd,2025-04-25,Loosen restriction on optional arguments in CCPP Framework (#2573),,,,,,,,
4a566203,2025-04-23,CMake Atmosphere Dycore Generalization + Fix for JEDI cubed sphere grid #2708 (#2604),,,,,,,,
