Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),2736,2731,,2820,,2941,3900,3928
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),2740,2708,,2824840,,2970,3915,3924
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),2734176,2702,,2824812,,2948,3898,3917
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),2736,2728,,2816476,,2960,3895,3923
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),2736,2728,,2816476,,2960,3895,3923
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),2734,2724,,2807,,2958,3901,3923
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),2732,2725,,2821552,,2980,3922,3923
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),2736,2733,,2815728,,2946,3914,3914
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),,2725,,2835652,,2991,3913,3930
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),2734,2722,,2820740,,2951,3903,3920
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),2731,2715,,2823640,,2945,3919,3926
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",2733,2735,,2827592,,2948,3919,3926
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),2732,2711,,2804348,,2960,3913,3913
