Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
db4e2d0f,2025-09-18,Replace icplocn2atm (integer) with use_oceanuv (logical); Update cloud build env to remove gnu from stack (was #2842) (#2867),129,159,73,125,,111,128,116
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),128,159,74,165,,105,134,120
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),128,160,74,158,,110,126,117
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),129,159,75,209,,103,170,124
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),170,159,79,124,,102,123,124
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),128,158,76,123,95,102,127,123
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),134,157,75,162,95,104,140,118
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),134,157,75,162,95,104,140,118
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),330,429,198,332,238,260,289,283
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),361,429,179,329,233,262,289,281
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),589,430,182,329,241,1485,300,278
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),333,431,182,338,237,263,281,281
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),326,430,180,336,234,263,283,281
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),328,430,181,327,237,284,282,284
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",325,436,178,335,238,263,280,276
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),324,437,178,334,235,263,285,278
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),323,429,181,332,,1607,281,275
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),325,435,180,327,236,269,295,281
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",324,434,182,341,236,272,281,280
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),325,298,179,331,238,262,289,288
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),327,434,181,331,236,262,286,280
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),324,524,189,334,237,263,273,274
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",333,527,177,336,239,370,283,275
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),356,429,179,336,237,270,275,279
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),356,429,179,337,237,,275,279
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),326,437,182,339,233,,284,274
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),862,429,181,408,234,,277,277
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),327,433,181,336,235,,273,278
5750b9e3,2025-06-20,gcycle update (#2747),333,433,180,333,234,,287,276
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),1237,434,180,331,235,,282,282
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",335,434,182,655,,,295,281
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),326,435,180,331,234,,280,281
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),326,435,180,331,234,,280,281
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),899,435,181,332,234,,272,274
