Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),334,312,206,334,295,571,675,316
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),438,313,199,309,295,219,337,315
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),361,311,195,261,295,213,340,310
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),335,314,198,318,295,214,327,308
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),335,314,198,318,295,214,327,308
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),332,312,194,333,288,214,331,309
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),575,308,199,298,292,248,332,315
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),667,311,194,291,290,211,344,312
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),332,310,197,287,293,218,324,300
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),336,314,204,357,295,219,350,301
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),331,310,196,433,293,238,351,308
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",343,311,192,375,296,215,346,307
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),334,310,194,314,281,235,335,302
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),327,308,193,260,285,211,318,295
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),328,322,196,303,285,220,338,301
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",390,315,195,260,297,216,326,308
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),330,311,193,319,291,217,393,300
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),329,316,195,334,282,213,321,307
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),336,431,197,333,293,216,304,299
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",328,476,196,324,294,1190,310,303
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),342,310,196,256,292,214,310,303
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),342,310,196,258,292,,310,303
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),336,320,196,261,283,,316,301
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),572,305,198,338,284,,327,304
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),401,315,195,255,280,,316,309
5750b9e3,2025-06-20,gcycle update (#2747),397,308,193,258,274,,316,311
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),1302,306,191,333,281,,311,303
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",359,311,192,888,291,,300,299
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),335,315,194,296,291,,302,302
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),335,315,194,296,291,,302,302
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),336,312,194,282,292,,303,299
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",508,315,198,282,284,,313,303
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),508,315,198,282,284,,313,303
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",426,307,193,265,288,,373,295
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",426,314,193,257,288,,373,295
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),474,312,190,305,281,,356,284
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),474,312,190,263,281,,356,284
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),738,322,194,337,293,,303,300
ff162f36,2025-05-01,NSSL MP scheme updates + Stochastic Physics CI/CD & Unit Test (#2661),337,315,195,344,286,,326,283
9e4778cd,2025-04-25,Loosen restriction on optional arguments in CCPP Framework (#2573),335,309,196,253,294,,302,282
4a566203,2025-04-23,CMake Atmosphere Dycore Generalization + Fix for JEDI cubed sphere grid #2708 (#2604),371,329,198,335,295,,324,289
4f0111b2,2025-04-21,Add CMEPS log file at restart write; IAU Tags for Global Workflow (was #2674) (#2698),357,312,201,263,282,,311,286
c0d4de3c,2025-04-18,Update mom6 to its main repository 20250411 commit (#2697),738,310,192,319,299,,319,284
7cc588ae,2025-04-16,Add PIO configuration variables for CMEPS + Update CCPP framework and physics CMakeLists.txt; forward ccpp-framework to HEAD of main #2659 (#2695),335,309,192,303,294,,333,287
9b9a6304,2025-04-11,Memcheck fixes (#2655),337,306,192,311,295,,303,285
4e75e7b4,2025-04-10,Update upp submodule to the latest UPP (#2682),334,309,193,316,289,,302,285
69d03840,2025-04-07,Use ESMF Redist instead of Remap for FV3 history bundles with 'cubed_sphere_grid' output grid (#2595),336,312,194,258,281,,316,285
0d1af3e3,2025-04-02,"Convert GFS DDTs from blocked data structures to contiguous arrays: Part Deux  + CCPP updates in fv3atm/ccpp-physics: split physics in two groups, reset GFS_interstitial DDT in CCPP_driver.F90 #2651 + Hera move spack-stack to /contrib #2579 (#2610)",332,308,194,302,281,,307,281
6ece76a2,2025-03-28,Update WW3  by merging develop  as of 2025-03-20 (#2669),338,309,195,278,291,,313,280
c5f801e4,2025-03-27,Sync CDEPS and CMEPS to ESCOMP (#2664),333,311,197,416,288,,312,283
