Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),985,964,952,1143,,1389,806,801
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),994,961,943,1134,,1353,807,903
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),1002,970,941,1127244,,1353,805,800
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),1144104,968,946,1125564,902,1363,813,799
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1000,979,945,1133296,902,1358,806,795
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1000,979,945,1133296,902,1358,806,795
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),1000,970,948,1134,897,1380688,804,797
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),998,970,942,1136380,897,1387,803,797
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1000,964,940,1122908,898,1379,811,798
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),999820,959,942,1132248,900068,1339,801,904
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),998,961,942,1137020,897972,1379,804,799
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),995,971,942,1138636,900876,1349,804,800
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",992,1116,940,1137744,896224,1379,802,793
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),1001,968,936,1124996,901252,1351,802,799
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),1148,975,941592,1111912,,1356,802,799
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),998,954,937224,1124360,893,1348,803,797
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",978,971,939,1118316,895,1348,802,801
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),998,968,938,1126140,890,1369,798,799
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),1002,973,944828,1139616,891,1358,800,786
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),995,971,942800,1128516,892,1384,799,790
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",992,968,940,1128,890,1380,802,787
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),986,968,942,1135640,889,1370,786,789
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),986,968,942,1129,889,,786,789
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),1006,1017,942,1116592,834,,809,913
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),1144,1003,945,1127,841,,797,913
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),998,1002,939,1121480,833,,800,795
5750b9e3,2025-06-20,gcycle update (#2747),998,1000,939,1124744,837,,801,910
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),994484,1008,933,1131876,836,,799,793
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",1000,1000,933,1100776,,,799,862
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),997,997,933,1121040,834,,799,795
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),997,997,933,1121040,834,,799,795
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),1005,995,939,1130012,837,,807,797
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",1000,991,933,1126272,837,,789,797
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),1000,991,933,1126272,837,,789,797
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",999,996,931,1117948,837,,800,794
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",999,1003,931,1100564,837,,800,794
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),1004,987,939,1124408,787,,799,794
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),1004,987,939,1109076,787,,799,794
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),1002,989,935,1098212,815,,799,910
ff162f36,2025-05-01,NSSL MP scheme updates + Stochastic Physics CI/CD & Unit Test (#2661),1145,984,934,1122680,835,,797,799
9e4778cd,2025-04-25,Loosen restriction on optional arguments in CCPP Framework (#2573),998,985,928,1133152,836,,792,797
4a566203,2025-04-23,CMake Atmosphere Dycore Generalization + Fix for JEDI cubed sphere grid #2708 (#2604),1001,985,934,1134668,835,,794,797
4f0111b2,2025-04-21,Add CMEPS log file at restart write; IAU Tags for Global Workflow (was #2674) (#2698),1005,990,937,1115452,831,,795,795
c0d4de3c,2025-04-18,Update mom6 to its main repository 20250411 commit (#2697),999,981,935,1135804,835,,795,794
