Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
db4e2d0f,2025-09-18,Replace icplocn2atm (integer) with use_oceanuv (logical); Update cloud build env to remove gnu from stack (was #2842) (#2867),306,257,166,205,,168,268,258
990ca94c,2025-09-16,Update tests such that LSM and LANDICE are set appropriately (#2772),305,259,166,209,,169,344,270
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),313,250,167,205,,173,276,262
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),305,251,166,207,,168,350,258
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),371,256,167,203,,173,269,261
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),311,250,166,219,229,170,281,264
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),306,253,165,208,229,168,267,257
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),306,253,165,208,229,168,267,257
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),312,252,166,246,238,168,258,258
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),803,246,163,322,220,171,258,269
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),443,249,164,207,218,168,263,260
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),336,250,182,207,234,165,268,254
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),301,247,168,206,233,184,269,261
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),300,246,164,244,214,169,256,265
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",306,250,163,256,218,169,499,258
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),326,255,164,205,214,181,263,261
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),302,252,164,200,,167,256,256
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),301,249,163,200,222,168,274,262
