Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),291,240,156,221,,179,257,247
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),291,242,162,216,,158,265,242
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),371,234,160,194,,160,255,243
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),294,235,157,206,210,159,268,242
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),293,239,157,192,210,160,251,236
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),293,239,157,192,210,160,251,236
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),643,239,157,216,210,159,243,245
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),321,239,157,221,208,175,253,247
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),562,233,155,348,208,158,261,236
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),284,237,156,238,206,157,250,248
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),282,234,156,201,206,191,259,241
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),286,237,155,192,217,159,245,240
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",290,239,154,194,218,160,250,242
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),288,240,153,199,213,161,253,238
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),287,237,155,195,,162,250,247
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),288,239,156,188,230,159,251,244
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",291,237,156,196,212,166,248,242
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),307,338,155,242,219,161,262,249
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),287,237,157,193,210,163,262,247
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),287,356,155,226,227,159,236,238
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",285,368,156,319,209,221,243,240
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),594,242,155,188,226,157,250,246
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),594,242,155,188,226,,250,246
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),291,231,159,198,223,,263,255
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),666,233,158,200,210,,264,260
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),289,236,157,195,219,,266,255
5750b9e3,2025-06-20,gcycle update (#2747),303,238,157,196,225,,265,252
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),900,237,158,254,209,,262,259
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",300,242,158,1096,,,258,251
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),291,243,158,231,205,,259,247
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),291,243,158,231,205,,259,247
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),292,251,158,216,216,,246,257
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",389,237,158,238,210,,265,259
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),389,237,158,238,210,,265,259
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",294,262,156,301,213,,280,258
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",294,240,156,198,213,,280,258
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),410,246,157,213,202,,268,234
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),410,246,157,199,202,,268,234
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),351,248,158,211,225,,253,253
ff162f36,2025-05-01,NSSL MP scheme updates + Stochastic Physics CI/CD & Unit Test (#2661),295,239,160,206,219,,278,235
9e4778cd,2025-04-25,Loosen restriction on optional arguments in CCPP Framework (#2573),300,241,159,195,212,,266,235
4a566203,2025-04-23,CMake Atmosphere Dycore Generalization + Fix for JEDI cubed sphere grid #2708 (#2604),401,264,159,195,207,,273,239
4f0111b2,2025-04-21,Add CMEPS log file at restart write; IAU Tags for Global Workflow (was #2674) (#2698),295,240,160,200,209,,253,240
c0d4de3c,2025-04-18,Update mom6 to its main repository 20250411 commit (#2697),293,244,161,204,210,,256,238
7cc588ae,2025-04-16,Add PIO configuration variables for CMEPS + Update CCPP framework and physics CMakeLists.txt; forward ccpp-framework to HEAD of main #2659 (#2695),292,239,161,197,224,,267,238
9b9a6304,2025-04-11,Memcheck fixes (#2655),293,246,159,208,220,,257,239
4e75e7b4,2025-04-10,Update upp submodule to the latest UPP (#2682),293,242,158,195,208,,256,236
69d03840,2025-04-07,Use ESMF Redist instead of Remap for FV3 history bundles with 'cubed_sphere_grid' output grid (#2595),294,241,159,200,222,,258,237
0d1af3e3,2025-04-02,"Convert GFS DDTs from blocked data structures to contiguous arrays: Part Deux  + CCPP updates in fv3atm/ccpp-physics: split physics in two groups, reset GFS_interstitial DDT in CCPP_driver.F90 #2651 + Hera move spack-stack to /contrib #2579 (#2610)",291,236,159,200,212,,258,236
