Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),750,629,352,514,,919,491,456
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),775,628,354,575,,937,1005,444
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),791,625,355,829,,942,468,451
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),802,635,353,590,793,954,481,450
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),731,632,354,754,793,959,469,440
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),731,632,354,754,793,959,469,440
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),731,633,357,528,795,944,466,447
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),803,628,353,604,795,948,469,450
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1487,749,354,585,807,958,483,452
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),725,631,355,624,805,925,481,442
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),722,635,353,578,803,950,492,449
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),1912,630,363,556,793,964,1029,995
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",807,654,351,580,810,957,1245,994
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),721,637,350,562,796,1185,1041,986
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),727,637,351,516,,1185,1007,980
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),749,635,352,571,805,1196,1021,996
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",799,634,351,597,819,1211,1017,989
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),789,638,352,580,810,1169,1041,996
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),762,631,369,593,806,1189,1022,996
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),844,755,353,593,802,1185,1011,997
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",767,727,350,567,798,1219,1015,992
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),744,627,354,559,805,1227,1010,992
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),744,627,354,656,805,,1010,992
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),758,550,364,557,797,,1038,1021
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),1006,547,375,620,805,,1025,1009
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),819,543,359,589,803,,1023,1007
5750b9e3,2025-06-20,gcycle update (#2747),821,542,358,618,806,,1017,1018
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),1131,547,360,618,806,,1028,1002
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",797,543,358,1316,,,1016,1008
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),750,546,358,598,801,,1030,1004
