Hash,Date,Message,orion,hera,gaeac6,hercules,derecho,ursa,wcoss2,acorn
d3caf3e5,2025-09-15,update mom6 to its main repo. 20250818 commit (#2866),1081,1228,868,1198,,1726,870,875
5e3a9259,2025-09-10,Introduce tuning parameter for convective cloud liquid for GFSv17/GEFSv13/SFSv1 (#2872),1079,1223,865,1197,,1720,872,872
e7ee38e2,2025-09-08,Scale-aware 3DTKE EDMF and TTE-EDMF GFS PBL related updates (#2806),1077,1226,866,1198412,,1730,870,872
688de8eb,2025-09-04,Fix default cdmbgwd settings (#2788),1084356,1226,870,1196808,867,1715,869,871
7e711129,2025-09-02,Use container with spack stack 1.9.2 (#2870),1084,1230,867,1195564,867,1731,873,877
d4bac232,2025-08-29,MPAS dycore + Atmosphere Generalization & Update RAP tests to FHMAX=12 (#2780),1084,1230,867,1195564,867,1731,873,877
118cff46,2025-08-25,Add FV3 grid mask for regional domains to speed up nearest n. interpolation; Update CMEPS and CDEPS (#2862) (#2818),1081,1224,867,1192,870,1722372,873,884
071b9f95,2025-08-22,Fix Restart IAU and Ultra-Low Reproducibility Issues by Adding Control Parameter to Restart File (#2851),1078,1221,865,1199636,878,1720,872,883
dc9cfba6,2025-08-19,Update CICE through 2025-07 and switch to ice history variables with expected ranges. Sync of WW3 develop to dev/ufs-weather-model (#2852),1085,1223,866,1194248,872,1716,874,875
a180bbe4,2025-08-15,FV3: Fix Prate_avg and UPP call freq + Fixing repo sync check with proper if...else block and re-instatiatin… #2859 (#2836),1078580,1224,865,1195316,877688,1729,874,879
417a2cf1,2025-08-13,Fix conus13km tests restart and decomposition reproducibility + Update the detection of Hera/Ursa #2858 (#2753),1069,1220,847,1191004,867668,1729,873,879
61e54d9b,2025-08-11,Add two-way ocean-wave coupling feature to the HAFS applications (#2584),1082,1223,864,1192552,866468,1723,874,880
ce74044c,2025-08-06,"Create a user-friendly ""process model"" testing capability + update MOM6 to its main repo. 20250801 commit #2849 (#2719)",1081,1224,867,1193856,872404,1724,874,880
d820b67f,2025-08-01,Update GOCART to v2.4.3 (#2819),1078,1220,847,1195420,870316,1707,873,881
5e13aaf2,2025-07-29,Update DATM meshes and switch to bilinear mapping; Reinstate med restarts for 4 tests after update to ESMF 8.8 (was #2796) (#2733),1081,1222,866508,1198044,,1721,874,881
e39a250c,2025-07-24,Update FV3 hash to include UPP ss192/Ursa updates (#2814),1080,1225,869424,1195152,867,1699,874,882
8b52797d,2025-07-21,"Combination of 2684,2707,2771 (MERRA2 3-hr, photochem diag, prog closure SFS) (#2813)",1079,1225,866,1195684,869,1729,873,883
93d51aef,2025-07-17,Exporting Canopy Variables from AQM to Facilitate Sub-Canopy Effects in FV3 and CCPP (#2630),1079,1225,866,1206056,869,1722,880,881
c5b3a3c8,2025-07-14,GFDLMP-v3 and TEMPO MP microphysics (#2503),1080,1221,864020,1199524,860,1724,876,878
f9c10462,2025-07-11,Combination of several CCPP-physics PRs (#2790),1088,1221,861080,1187064,866,1720,877,878
0e960577,2025-07-09,"Combination #2777 (maintask writes CMEPS restart log), #2779 (FV3 CI/CD), and fix RT if statement blocks (#2795)",1084,1226,863,1195,870,1725,877,877
065def80,2025-07-07,Port UFS-WM to Ursa (#2471),1084,1223,864,1196776,870,1717,877,879
995c51d1,2025-07-03,Upgrade UFS-WM to spack-stack/1.9.2 (#2650),1084,1223,864,1196,870,,877,879
1f0ab432,2025-07-01,Reduce WW3 memory use (#2624),1082,1123,869,1205928,881,,872,879
8f8fddc8,2025-06-30,Bring in scale-aware 3DTKE related changes for GFS TKE EDMF PBL scheme #2734; Add option in GFS PBL to use liquid/ice potential temperature in local mixing #2763; Update MOM6 to its main repo. 20250527 commit #2757; Mom6 025 warmstart option #2761 (#2734),1084,1122,872,1196,881,,873,879
24d8dfd4,2025-06-26,Slight modification in orographic gravity wave drag (OGWD) scheme (#2752),1081,1108,865,1192408,879,,876,876
5750b9e3,2025-06-20,gcycle update (#2747),1067,1119,867,1203204,877,,869,876
a9999828,2025-06-12,Add a new parameter in dycore to control cutoff level for implicit RF  (#2730),1081076,1120,867,1203992,875,,877,877
9193010a,2025-06-06,"In Noah-MP, set zero for canopy liquid and canopy ice over glacier  (#2723)",1085,1117,867,1198,,,875,876
43f2c3bd,2025-06-04,Urgent Documentation Update for HSD Capability Announcement  (#2765),1067,1126,866,1195964,875,,875,878
f22b2e11,2025-06-02,Bug fix for surface roughness calculation over lakes and sea ice points when wave model is turned on (#2739),1067,1126,866,1195964,875,,875,878
aebf9781,2025-05-27,Fix bug to improve wave initialization by saving location/weights for point output (#2737),1079,1102,866,1203812,878,,872,878
4cbe50f4,2025-05-23,"Add idealized, regional tropical cyclone test to tests-dev (#2693)",1083,1099,864,1198032,878,,871,876
269e181a,2025-05-23,Add GFSv17 IAU restart tests without waves + Add tags to stoch physics int variables + Fix filepath in user's guide (#2691),1083,1099,864,1198032,878,,871,876
68fd7faa,2025-05-15,"Enable Hera, Hercules Gnu tests: cpld_debug_p8_gnu and cpld_control_p8_gnu + revert MOM6 ISO code #2729 (#2694)",1082,1102,865,1194608,866,,876,878
1c5a9f12,2025-05-09,"Add ""ultra low"" coupled configurations to RTs (Reopen #2564); update inputdata; clean up misc items in multiple test configurations (#2663)",1082,1119,865,1201592,866,,876,878
aba31a4e,2025-05-06,Resolve miscellaneous WM issues and update documentation (#2633),1086,1108,868,1194920,884,,877,876
b81282e5,2025-05-05,Switch to vector remapping and bilinear interpolation for global coupled configurations (#2690),1086,1108,868,1181540,884,,877,876
5a297a6e,2025-05-02,improve coupled model startup cost for waves; Add switch to disable InfoBroadcast in fv3 cap run phase2 (was #2721) (#2715),1069,1100,868,1195960,879,,881,878
ff162f36,2025-05-01,NSSL MP scheme updates + Stochastic Physics CI/CD & Unit Test (#2661),1071,1102,866,1187000,877,,875,877
9e4778cd,2025-04-25,Loosen restriction on optional arguments in CCPP Framework (#2573),1080,1103,865,1201124,877,,876,875
4a566203,2025-04-23,CMake Atmosphere Dycore Generalization + Fix for JEDI cubed sphere grid #2708 (#2604),1080,1105,870,1199696,877,,876,878
4f0111b2,2025-04-21,Add CMEPS log file at restart write; IAU Tags for Global Workflow (was #2674) (#2698),1079,1107,867,1196844,877,,875,876
c0d4de3c,2025-04-18,Update mom6 to its main repository 20250411 commit (#2697),1081,1105,868,1191180,882,,874,877
7cc588ae,2025-04-16,Add PIO configuration variables for CMEPS + Update CCPP framework and physics CMakeLists.txt; forward ccpp-framework to HEAD of main #2659 (#2695),1068,1116,866,1194184,877,,874,878
9b9a6304,2025-04-11,Memcheck fixes (#2655),1080,1120,866,1192140,875,,872,877
4e75e7b4,2025-04-10,Update upp submodule to the latest UPP (#2682),1117,1154,907,1238224,908,,908,914
69d03840,2025-04-07,Use ESMF Redist instead of Remap for FV3 history bundles with 'cubed_sphere_grid' output grid (#2595),1120,1142,899,1227792,912,,910,912
0d1af3e3,2025-04-02,"Convert GFS DDTs from blocked data structures to contiguous arrays: Part Deux  + CCPP updates in fv3atm/ccpp-physics: split physics in two groups, reset GFS_interstitial DDT in CCPP_driver.F90 #2651 + Hera move spack-stack to /contrib #2579 (#2610)",1113,1154,899,1237884,912,,909,913
6ece76a2,2025-03-28,Update WW3  by merging develop  as of 2025-03-20 (#2669),1117,1151,903,1239872,914,,914,915
